,State_Name,Assembly_No,Constituency_Type,Constituency_No,count_i,total
0,Goa,7,GEN,"[ 1  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40]",39,40
1,Goa,7,SC,[2],1,40
2,Manipur,12,GEN,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25
 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 50]",40,60
3,Manipur,12,SC,[16],1,60
4,Manipur,12,ST,[41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 58 59 60],19,60
5,Punjab,15,GEN,"[  1   3   4   6   7   9  10  11  12  13  15  17  18  19  21  22  23  24
  26  27  28  31  32  35  36  37  39  40  41  43  45  47  48  49  50  52
  53  55  56  57  58  59  60  61  62  63  64  65  68  72  73  74  75  76
  78  79  80  81  83  84  86  87  88  90  92  94  95  96  97  99 101 103
 105 106 107 108 110 111 112 113 114 115 116]",83,117
6,Punjab,15,SC,"[  2   5   8  14  16  20  25  29  30  33  34  38  42  44  46  51  54  66
  67  69  70  71  77  82  85  89  91  93  98 100 102 104 109 117]",34,117
7,Uttar Pradesh,17,GEN,"[  1   2   3   4   5   7   8   9  10  11  12  14  15  16  17  19  20  22
  23  24  25  26  27  28  29  30  32  33  34  35  36  37  40  41  42  43
  44  46  47  48  49  50  51  52  53  54  55  56  57  58  60  61  62  63
  64  65  66  67  68  69  72  73  74  75  76  79  80  81  82  83  84  86
  88  89  91  92  93  94  96  97  98  99 100 101 102 103 104 105 107 108
 110 111 113 114 115 116 117 118 119 120 121 123 124 125 126 127 128 130
 131 132 133 135 136 137 138 139 141 142 144 145 146 148 149 150 151 154
 155 156 159 161 162 165 166 167 169 170 171 172 173 174 175 178 179 180
 182 183 185 186 187 188 189 190 193 194 195 196 197 199 200 202 203 206
 207 208 210 211 212 213 214 215 216 217 219 220 222 223 225 226 228 230
 231 232 233 235 236 237 238 239 240 241 242 244 246 247 248 249 250 251
 253 254 256 257 258 259 260 261 262 263 266 267 268 270 271 274 275 276
 277 278 280 281 283 284 285 286 287 288 289 290 291 292 293 295 296 297
 298 299 301 302 304 305 306 307 308 309 310 312 313 315 316 317 319 320
 321 322 323 324 326 328 329 330 331 332 333 334 336 337 338 339 340 342
 343 344 345 346 347 348 349 350 353 354 356 358 359 360 361 362 363 364
 365 366 367 368 370 371 375 376 377 378 379 380 381 382 384 386 387 388
 389 390 391 392 393 396 397 398 399 400 401 402]",318,403
8,Uttar Pradesh,17,SC,"[  6  13  18  21  31  38  39  45  59  70  71  77  78  85  87  90  95 106
 109 112 122 129 134 140 143 147 152 153 157 158 160 163 164 168 176 177
 181 184 191 192 198 201 204 205 209 218 221 224 227 229 234 243 245 252
 255 264 265 269 272 273 279 282 294 300 303 311 314 318 325 327 335 341
 351 352 355 357 369 372 373 374 383 385 394 395 403]",85,403
9,Uttarakhand,4,GEN,"[ 2  3  4  6  7  8 10 11 12 13 14 16 17 18 19 21 22 23 24 25 26 30 31 32
 33 34 35 36 38 39 40 41 42 43 44 46 48 49 50 52 53 54 55 56 57 59 60 61
 62 63 65 66 67 68 70]",55,70
10,Uttarakhand,4,SC,[ 1  5  9 20 27 28 29 37 45 47 51 58 64],13,70
11,Uttarakhand,4,ST,[15 69],2,70
