,index,State_Name,Assembly_No,Party,Party_Seat,total,Party_Seat_Percentage
0,0,Goa,7,INC,17,40,42.5
1,1,Goa,7,BJP,13,40,32.5
2,2,Goa,7,GFP,3,40,7.5
3,3,Goa,7,IND,3,40,7.5
4,4,Goa,7,MAG,3,40,7.5
5,5,Manipur,12,INC,28,60,46.67
6,6,Manipur,12,BJP,21,60,35.0
7,7,Manipur,12,NPEP,4,60,6.67
8,8,Manipur,12,NPF,4,60,6.67
9,9,Manipur,12,AITC,1,60,1.67
10,10,Punjab,15,INC,77,117,65.81
11,11,Punjab,15,AAAP,20,117,17.09
12,12,Punjab,15,SAD,15,117,12.82
13,13,Punjab,15,BJP,3,117,2.56
14,14,Punjab,15,LIP,2,117,1.71
15,15,Uttar Pradesh,17,BJP,312,403,77.42
16,16,Uttar Pradesh,17,SP,47,403,11.66
17,17,Uttar Pradesh,17,BSP,19,403,4.71
18,18,Uttar Pradesh,17,ADAL,9,403,2.23
19,19,Uttar Pradesh,17,INC,7,403,1.74
20,20,Uttarakhand,4,BJP,57,70,81.43
21,21,Uttarakhand,4,INC,11,70,15.71
22,22,Uttarakhand,4,IND,2,70,2.86
23,0,Goa,7,Other,1,40,2.5
24,1,Manipur,12,Other,2,60,3.34
25,2,Uttar Pradesh,17,Other,9,403,2.23
