Serial Number,State,Party,Seat won by party,Total seats,Party seat share percentage
1,Goa,INC,17,40,42.5
2,Goa,BJP,13,40,32.5
3,Goa,GFP,3,40,7.5
4,Goa,IND,3,40,7.5
5,Goa,MAG,3,40,7.5
6,Manipur,INC,28,60,46.67
7,Manipur,BJP,21,60,35
8,Manipur,NPEP,4,60,6.67
9,Manipur,NPF,4,60,6.67
10,Manipur,AITC,1,60,1.67
11,Punjab,INC,77,117,65.81
12,Punjab,AAAP,20,117,17.09
13,Punjab,SAD,15,117,12.82
14,Punjab,BJP,3,117,2.56
15,Punjab,LIP,2,117,1.71
16,Uttar Pradesh,BJP,312,403,77.42
17,Uttar Pradesh,SP,47,403,11.66
18,Uttar Pradesh,BSP,19,403,4.71
19,Uttar Pradesh,ADAL,9,403,2.23
20,Uttar Pradesh,INC,7,403,1.74
21,Uttarakhand,BJP,57,70,81.43
22,Uttarakhand,INC,11,70,15.71
23,Uttarakhand,IND,2,70,2.86
24,Goa,Other,1,40,2.5
25,Manipur,Other,2,60,3.34
26,Uttar Pradesh,Other,9,403,2.23
