ST_NM,Value
Arunachal Pradesh,-1
Assam,-1
Chandigarh,-1
Karnataka,-1
Manipur,35
Meghalaya,-1
Mizoram,-1
Nagaland,-1
Punjab,10
Rajasthan,-1
Sikkim,-1
Tripura,-1
Uttarakhand,20
Telangana,-1
Bihar,-1
Kerala,-1
Madhya Pradesh,-1
Andaman & Nicobar,-1
Gujarat,-1
Lakshadweep,-1
Odisha,-1
Dadra and Nagar Haveli and Daman and Diu,-1
Jammu & Kashmir,-1
Chhattisgarh,-1
Delhi,-1
Goa,40
Haryana,-1
Himachal Pradesh,-1
Jharkhand,-1
Tamil Nadu,-1
Uttar Pradesh,15
West Bengal,-1
Andhra Pradesh,-1
Puducherry,-1
Maharashtra,-1
Ladakh,-1
